detailedhouseholdandfamilystat,0.8659554300005047
detailedhouseholdsummaryinhousehold,0.9752345071601329
detailedindustryrecode,0.7833908845007904
detailedoccupationrecode,0.6258024487008549
familymembersunder18,0.7343961693157545
majorindustrycode,0.9594686478198845
majoroccupationcode,0.9656718994498954
maritalstat,0.7145566443239849
migrationcodechangeinmsa,0.7954494801825135
migrationcodechangeinreg,0.9179266456734206
migrationcodemovewithinreg,0.9068603520388248
taxfilerstat,0.7799521978220463
