index,method
2,bayes
8,bayes
17,svm
32,svm
37,bayes
42,svm
45,svm
46,svm
47,svm
48,svm
49,svm
50,svm
51,svm
52,svm
53,svm
54,bayes
55,svm
56,svm
57,svm
58,svm
59,svm
60,svm
61,svm
62,bayes
63,bayes
64,svm
65,bayes
66,svm
67,svm
68,svm
69,svm
70,svm
71,bayes
72,svm
73,bayes
74,bayes
75,svm
76,bayes
77,bayes
78,bayes
79,svm
80,bayes
81,bayes
82,bayes
83,bayes
84,bayes
85,svm
86,bayes
87,svm
88,bayes
89,bayes
90,bayes
91,bayes
92,bayes
93,bayes
94,svm
95,svm
97,svm
98,svm
99,bayes
100,bayes
101,svm
102,bayes
