index,target,mcc
21,L_SUPPKEY,1.0
21,PS_SUPPKEY,1.0
17,N_REGIONKEY,1
17,R_COMMENT,1
17,R_NAME,1
12,L_LINESTATUS,0.989085
25,N_REGIONKEY,1
10,L_LINESTATUS,0.991616
10,O_ORDERSTATUS,0.967816
10,PS_PARTKEY,0.999706
10,P_PARTKEY,0.999661
27,C_NATIONKEY,1
27,N_COMMENT,1
1,C_CUSTKEY,0.737826
1,C_NATIONKEY,1
1,C_PHONE,1
1,N_NAME,1
1,N_NATIONKEY,1
1,N_REGIONKEY,1
1,O_CUSTKEY,0.734996
7,PS_PARTKEY,0.98557
7,P_PARTKEY,0.984934
29,PS_SUPPKEY,0.743196
29,S_ADDRESS,0.745605
29,S_COMMENT,0.74884
29,S_NAME,0.746049
26,PS_SUPPKEY,1
26,S_SUPPKEY,1
13,L_LINESTATUS,0.989803
15,L_LINESTATUS,0.993802
28,L_ORDERKEY,1
28,O_ORDERKEY,1
3,L_LINESTATUS,0.985372
3,O_ORDERSTATUS,0.893393
19,L_PARTKEY,1
19,PS_PARTKEY,1
19,P_MFGR,1
14,L_LINESTATUS,0.973552
9,PS_PARTKEY,0.991508
9,P_PARTKEY,0.991357
8,PS_PARTKEY,0.996295
8,P_PARTKEY,0.996299
4,L_LINESTATUS,0.992758
4,O_ORDERSTATUS,0.953507
2,PS_SUPPKEY,0.761422
2,S_ADDRESS,0.765484
2,S_COMMENT,0.771733
2,S_NAME,0.762677
